Frequency,Magnitude
278,228.47947865450539
279,177.5123928675339
280,133.13465118332968
281,188.1764081618685
282,367.53531217713913
283,105.47388620214777
284,94.54776901336811
285,245.48976318456639
286,94.19757885980874
287,291.55314884843125
288,407.0864814617629
289,356.81257350151367
290,172.3668398292529
291,358.8071945983955
292,271.7425810662876
293,236.2547677667211
294,235.09098204654563
295,94.93798467026758
296,125.27587309666878
297,643.0433168616605
298,526.0031707221726
299,147.80399006423417
300,156.72389256810916
301,206.15004981904778
302,342.5001583673816
303,319.37612596262704
304,1130.3640106904822
305,1403.1398206414397
306,359.06349345967953
307,233.53480338498068
308,126.5583299814979
309,250.038941226718
310,200.86478354645595
311,115.61602900802572
312,232.76215517074064
313,300.9003264514091
314,393.4305507074698
315,259.7809165381456
316,469.3900809670995
317,101.22073617911389
318,275.99791751944116
319,152.38913526846878
320,303.3985130873896
321,251.4234531839897
322,170.0011088621821
323,136.24266762352158
324,106.03361373153471
325,160.6828762993675
326,165.91033496217935
327,317.9268649507696
328,196.6579480745568
329,384.65226237394296
330,236.21896905865256
331,316.5891873014649
332,256.7730975016483
333,430.3299981751237
334,167.96187751411935
335,110.22696754272408
336,203.58253259228428
337,99.8998144365652
338,174.31859023552238
339,167.33078006607116
340,263.2706899251187
341,377.6068610390172
342,189.83569515668924
343,182.2442785239224
344,350.4520025076795
345,353.84737068346203
346,14.029343502319854
347,251.49554735350054
348,413.8059453095279
349,153.54110252128314
350,370.41454239927526
351,203.27982038974903
352,452.5814217245491
353,169.205033876057
354,145.24278321327705
355,450.1903807189296
356,179.693037651587
357,85.08452299579271
358,175.10789091926566
359,463.83418908414467
360,370.8085700682476
361,404.0700889001821
362,116.43834271594909
363,382.9863139849181
364,78.1808613607209
365,420.86717672589253
366,183.34444418644514
367,217.70430466980375
368,194.18600759689022
369,112.54444592483888
370,173.10914477399888
371,331.1259384727797
372,287.1581524801075
373,126.26702909203146
374,148.05445647445086
375,385.9072227840506
376,349.0299173179622
377,497.006232818558
378,427.7583256953674
379,222.7182555896544
380,307.06627508435054
381,121.07046560158658
382,303.3861981532231
383,372.3944323997986
384,313.83701533917827
385,119.52280532559791
386,174.75200493015015
387,524.4737206237824
388,203.11510689159624
389,165.97507170298076
390,281.07358042492626
391,462.37003300440426
392,417.4898524149737
393,446.05674624115767
394,186.68500348813586
395,596.6774126953768
396,300.0424773199064
397,83.55718550082
398,127.91329043998986
399,278.67263041126887
400,18.110775245154734
